file_name,caption_1,caption_2,caption_3,caption_4,caption_5
book_heavy_noise.wav,A person flips through the pages of a book very fast.,A person going through pages of a book very rapidly.,A person is flipping through pages of a book very fast.,A person is going through pages of a book rapidly.,flipping pages of a book and scribbling down on paper with a marker.
Dripping water on metal.wav,A tap pouring water into a metal sink and then eventually being turned off.,Rain patters steadily on a tin roof and water slides off,Rain patters steadily on a tin roof while the water slides off.,Water dropping roughly onto a thin metal but no heavy rainfall.,Water is pouring into a metal sink from the tap and is eventually turned off.
RBH_Household_Bathroom fan.wav,"A machine begins to run, then turns off.",A person operating an electric power tool in a garage.,A person roughly operates an electric power tool while working in a garage.,The motor of a generator runs steadily in a factory,Wind is blowing while a vehicle is in motion.
SmallJarLidScrewUnscrew.wav,Glasses are stacked as a glass is pulled across the table.,"Object, open and closing of the lid of the object multiple times.",The opening and closing of the lid of an object multiple times.,Two hard objects are being rubbed together over and over again.,"sliding a glass jar on a counter top, and taking the cap on and off as it slides."
munition_shells.wav,A coin is dropped into a glass bottle eight times.,A light metal object is repeatedly dropped onto a hard surface.,"A light, metal object is being picked up and repeatedly dropped onto a hard surface.",A person flipping coins onto a hard surface.,A person is flipping coins onto a hard surface.
Demolition_Backhoe_Debris into Dumpster #3.wav,A machine is running in the background and hard objects are being scraped and moved over another hard surface.,An engine whirs while objects break and snap into pieces.,An loaded trash truck crunching the trash to make more room inside the back.,Someone is knocking into something heavy sounding it seems.,The engine rumbles as things begin to break and snap off.
carpet_on_carpet.wav,A person banging shoes together then sweeping a floor.,"A person sweeps a hard surface, takes several steps in heels, and sweeps again.","A person sweeps a hard surface, while walking in heels.",A woman walking in heels on a wooden floor is sweeping and then walks off.,First a person bangs shoes together and then sweeps the floor.
by a busy road background.wav,"Cars are pass by on a nearby road, as something is being crinkled.",A large amount of cars is quickly driving by.,Road noise of cars passing by then a crinkling sound at the very end.,"The cars pass by, driving at an even rate of speed.",traffic noises with a loud car in the middle and crunching noises near the end
Paper_Shuffling_Crinkling_Crisp.wav,A person flips the pages of a book.,A person is flipping pages of a book.,Multiple pages of paper are being turned over.,Multiple pieces of paper are being turned over.,paper being crinkled over and over in the foreground
school break noise outdoor.wav,A group of people including children are playing and shouting.,Some kids make noises as they place outside.,The adults and children are talking loudly and excitedly in the large waiting area.,The large waiting area has adults and children talking loudly in it.,a group of people including kids are shouting and playing.
FloiseFlower test 2.wav,A very strong wind is blowing outside the windows of a house.,A very strong wind is blowing past the windows of a house,"An engine runs continually, increasing and decreasing in intensity.",Cars are passing by on the freeway going fast along with the wind.,The wind is blowing strongly and continued at the same strength
Stock wind sound.wav,A wind storm blows outside of a house.,Wind blowing outside during a storm from inside a house.,Wind passing around a building rises and falls in pitch as its strength rises and falls.,"Wind rolls around a building, creating a loud noise while rising and falling.",Winds blow at high speed creating a whistle
Hill Top Ambaince.wav,A man speaks after the wind blows around.,The wind is blowing and then a man speaks.,Waves and wind blowing followed by a man speaking,Waves and wind blowing sound followed by a man speaking,air static and a man saying words in the last five seconds.
La Barca i La Tempesta.wav,A screen door is opened and closed and popcorn pops.,Loud screeching noises and constant knocking on an object with movement.,Popcorn is popping as a screen door opens and closes.,The birds were squeaking the background and popping noises were in the foreground.,birds squeaking in the background and popping noises in the foreground
marche1.wav,A person walking along a dirt path outdoors while birds sing.,Birds are singing and footsteps are moving steadily moving on the ground.,Birds are singing and footsteps are moving steadily on the ground.,Someone is walking along a dirt trail as birds chirp.,Someone is walking with birds whistling in the background.
banging.wav,"A semi truck backs up, heavy banging starts, then the semi drives away.",A truck backing up to a warehouse where boxes are being stacked up.,A truck backs up to warehouse where boxes are being stacked up.,Machinery is running while hard objects are being dropped onto a hard surface.,Machinery running and hard objects being dropped onto a hard surface at the same time.
audience final applause 01.wav,An audience clapping loudly that slowly fades away in volume.,"Hands are clapping, and people are continuously applauding and cheering.",The clapping and cheering crowd grew softer as time went on.,an audience clapping loudly that gets slower and quieter near the end,"hands are clapping, people are continuously applauding and cheering"
fan_2_300513.wav,A person standing next to a freeway during rush hour.,Ambient car noises in a city with rain falling.,"During rush hour, a person stands next to a busy freeway.",Everything else is covered by a steady roar of machinery.,Wind blowing outside from the inside of a room.
Garden.wav,"A boat horn goes off in the distance and some birds begin squawking, and more birds begin chirping.",A single bird caws out angrily at a tree while others chirp happily.,A single bird caws out angrily while others chirp happily.,Birds screeching and chirping as cars are moving by underneath.,Some birds are squawking and then more birds are chirping as a boat horn goes off in the distance.
paper_bag.wav,A crackling movement sound is occurring from something.,Moving around really nearby and whispering some breath.,Nearby moving around and a whispering of breathing.,Someone rubbing against something and walking at the same time.,The person is rubbing against something while walking.
02901 hurricane wind in suburb.wav,A siren wails into the open air while waves lap the shore,The booming alarm is in the foreground while busy traffic is in the background.,Water flows and splashes before a horn blows.,Water is running and splashing then a horn sounds.,"Waves are coming onto the shore, and a siren is blowing."
LargeStreamOverLoginForestMarch.wav,Rapid water is going and falling down the river,The bathtub grew filled as the water slowly left the faucet.,The river water is moving rapidly and falling down.,Water flowing down into a creek at a pretty fast rate.,Water flowing down to a creek at a pretty fast rate.
ascensorbibliotecaViladeGracia.wav,A horn beeps in the distance while people talk in garage.,A machine is running with the stepping and voice of a person,A person opening a door and machine whirring noises and people talking in the background.,People talk in garage and a horn beeps in the distance.,Someone is riding an elevator up and got off.
Crowd_Large_Large Venue_Tradeshow.wav,A crowd of passengers were talking in a moving bus with a loud engine.,Industrial machinery is in operation while factory workers chat to one another.,Machinery running and people conversing in close proximity to each other.,Multiple distant conversations that are in a busy area.,Various far away conversations are being held in a busy area.
in the cafe.wav,"An engine runs briefly, men and women are speaking, and a child yells in background.",Men and women are speaking as children yell in the background while an engine runs briefly.,People are talking nearby and a child is yelling in the background.,People have a conversation over a child screaming nearby.,engine noise with children screaming and people talking in the background
pajaritos_hifi_.wav,A bird chirps with increasing frequency and intensity.,Birds whistle and chirp which then echo out.,Multiple birds whistle and chirp followed by high pitched echoes.,Several birds flying back and forth as they tweet.,Several birds tweeting as they fly back and forth
0111 Ambulance.wav,A car with a siren passes by and then a bicycle passes by.,A police car with the siren turned on driving around.,Sirens sound as a vehicle drives by along with other vehicles.,Sirens sound as vehicles pass along each other.,"The cars on the street are quiet but an ambulance silence approaches, wailing, and then fades as it passes."
"Cassette player switch on, Fat hum through tiny speaker.wav",A machine is vibrating and making low frequency humming sounds.,An airplane flying through the air at a steady pace,An engine is making a continuous low pitched sound.,a machines is making vibrating low humming sounds,an engine is making a continuous bass sound
flyingmachine+birds.wav,"An airplane drones overhead, while birds chirp in the distance.",Birds are chirping and an airplane flies overhead.,Birds are heard chirping and the sound of an engine is heard in the background.,Chirping birds are interrupted by a propeller plane passing by.,an airplane can be heard flying overhead as birds chirp in the background
20070814.Copenhagen.04.wav,A vehicle driving in the background with some female voices in the background,Children scream and play in the rain as people talk.,People chatting at the train station or around vehicles.,People walking and conversing in close proximity with traffic flowing by.,people are talking children are screaming and playing in the rain
"09-07-11_0732_Ribeira early morning, next to the river, ducks.wav",A duck is quacking loudly and another duck is also quacking softly in the background.,Ducks quack loudly while other birds chirp in the background.,Ducks quacking loudly while other birds chirp in the background.,Several ducks are quacking with birds chirping in the background.,"Two ducks quack, one loudly and one softly."
Babble of Frogs 001.wav,"A duck is quacking while other birds are chirping,",Several ducks quacking outside with smaller birds chirping,Smaller birds are chirping as ducks quack outside.,The ducks are quacking in the water of the pond.,While a number of birds are chirping a duck is quacking.
mountain river 06-09-2012.wav,"A large volume of water is rushing, splashing and gurgling all the time.","A large volume of water is rushing, splashing and gurgling consistently.",River waves flow and crash against the many rocks on the river bed.,Water flows continuously in the rock filled stream.,lots of rain coming down and falling off the roof top.
River 2.wav,A Continuous flow of water is running into a stream.,A flow of water is running in a creek bed.,Continuous flow of water running in a stream.,Water from a small stream flows and runs against rocks.,"Water from a small stream flows, making a splash as it runs against rocks."
BOAT INTERIOR ENGINE.wav,"A humming motor, numerous people chattering while a man coughs.",Heavy machinery hums consistently while people murmur in the background.,"Humming from a motor, numerous people chattering while a man coughs.",Several men and women speak in a noisy background while someone coughs.,several men and women speaking in a noisy background and someone coughing
waves.wav,As the water moved around I was being splashed.,Birds sing and chirp as water splashes against nearby rocks.,Water is being moved around and being splashed.,Water splashed rhythmically with birds chirping and wind blowing in the background.,Water splashing rhythmically with birds chirping and light wind in the background.
Thunder.wav,"As a steady rain falls, thunder rolls in the distance.",Heavy rain falls during a thunderstorm from the porch of someone.,Heavy rains are falling down along with rolling thunder,Heavy rains falling down along with rocking thunder,Thunder rolls in the distance as a steady rain falls.
machine1.wav,A machine is being ran at a constant rate while cars pass by quickly.,A machine is running at a constant rate while cars pass by quickly.,A truck is running while sitting in some traffic.,A truck is running while sitting in traffic.,Traffic speeds by as an audio recorder plays loudly.
Plant noises.wav,"A person is rustling through leaves and sticks, getting louder as they get closer.",Footsteps growing louder as they approach crunching on leaves.,Multiple branches are being cut down in the forest with the leaves being crunched down and rustling.,Multiple branches are cut down as leaves are crunched and rustling.,Someone is shuffling items around before breathing and dropping an item into a bucket.
Horse_Hooves_Hard_Floor_Interior.wav,"A person is walking with high heels on, down the hallway",Hard nails are clacking on a hard surface.,"Hard objects are striking against another hard object in a regular, even way.","Hard objects striking against other hard objects in a regular, even way.",The clacking of hard nails on a hard surface.
"Powell Street Festival - Omikoshi - Aug 1, 2009.wav",A crowd of people speaking while a marching band performs.,A drum is beating at a crowded gathering.,People talking while others chant to the beat of a drum and whistle in the background.,Playing of drums while a whistle blows and a lot of people are chatting.,"While some people talk, others chant and whistle in rhythm with the drums."
"a gentle breeze, wind 1.wav",A huge gust of wind whistles and howls.,Wind blowing by in a very open area near someone.,Winds that are howling and whistling are powerful high,the strong wind is rumbling and howling and blowing branches away,"the strong wind is rumbling, howling and blows branches away"
Train Internationaal Benelux 090627.wav,A city rail train is coming in for a landing and its brakes are squealing.,A huge vehicle passes by on the road and metal is vibrating.,"A subway slows as it approaches the station, and then quickly passes it without stopping.","Outside in the road, a huge vehicle passing by, a metal vibrating",a subway approaches a station and then passes it without stopping.
CarApproaching_Asphalt_leaves.wav,A moving truck approached slowed down and then stopped,A moving truck approaches then slows down and stops.,"A vehicle motor first accelerates then idles then stops, followed by clicks","An engine roars to life, idles, and then stops.",Rushing air becomes closer as vehicles pass by squealing to a slow stop.
20100327.plastic.bag.wav,A large machine is operating at a fast pace.,A large machine is running at a very fast speed.,A piece of plastic is rustling in the wind.,Someone is shaking a container filled with beads.,The wind causes a piece of plastic to rustle.
Rosary.wav,A muffled noise as one object rubs against another object.,Beads rattle around noisily as time goes on and on.,Beads rattle around noisily as time goes on.,The walking stick taps very lightly as the man shuffles across the room and scrapes the dinner plate.,Very light tapping and shuffling followed with scraping.
Mensen op de achtergrond.001.wav,A bunch of people are talking in the background while a man talks to another.,A large gathering of people are talking and socializing outside.,A large gathering of people talking and socializing outdoors.,People chatting in a large public space outdoors during the day with children.,People chatting outdoors while some are children playing.
PassingCars01.wav,"Birds chirp and chatter happily, as cars zoom by in the background.",Birds chirp happily as cars zoom by in the background.,Cars driving down a street while birds are tweeting in the background.,Multiple vehicles passing by on a road with birds chirping in the background.,Vehicles are running on a highway and birds are chirping in the trees.
Railway maintenance works.wav,"After closing the door and roaring the motor, the vehicle with the noise rolled by.","As two cars zoom by, someone opens the door, steps out, and closes it.",The train is speeding down the tracks and it is picking up speed as it passes.,The train is speeding down the tracks picking up speed as it passes.,"closing door, motor roaring, then approaching vehicle, rolling noise passing by"
tata_hungary__roundabout_with_fountain_20080718.wav,A car on the road passes by quickly.,A car passes by quickly on the road,"A vehicle approaches, drives by, and then drives away.",Cars drive by a single point on the road.,vehicle approaches real fast and passes by with a zoom
Filing Nails.wav,A person is filing a piece of metal with a metal file.,A person uses the metal file to file a piece of metal.,Someone keeps sharpening a knife on a stone,Someone was continuously filing a knife on a stone,Two objects are rubbing together and making noises.
20160718_fountain.03.wav,Water flowing down a waterfall and into a pond.,Water flowing down an indoor artificial waterfall that is indoors.,Water flows consistently into another container of water.,Water flows consistently into another object with water.,Water is flowing into a basin and down a drain.
2nd Half of a Freight Train.wav,A loud engine is whirring while a train passes by.,A track  is rolled over by a train as it rumbles.,A train rumbles along over a track intersection.,"Metal clanging and rattling resonate as a train chugs along, the wheels rumbling along the track.",an engine is whirring while a train passes by
At Broadsands overlooking Hookhills Viaduct on the Dartmouth Steam Railway.wav,A moving machine is making a very loud clanging noise.,A train chugs along past the station and grows quieter.,A train engine is chugging along the tracks.,Along the train tracks a train engine is chugging.,a very loud clanging from a moving machine
Shuttle-Train-Passing.wav,A train chugs along a track and blares its horn.,A train is chugging down the tracks while blowing its horn.,"After a loud bus horn beeps, the clicking of a train get closer and then fades away.","After a loud bus horn, the clicking of a train get closer and then fades away.","As a train moves down the tracks, it blows its horn."
taps.wav,The water was rushing into the sink and down the drain at various rates.,Water from a faucet is running into a sink.,Water is flowing from a pot or container into a cup.,Water is poured from a pot into a cup.,Water is running from a faucet into a sink.
Airplane indoor ambience .wav,A busy train with some plastic being moved with clicking.,A heavy machine was continuously working and blowing air.,An heavy machine was continuously working and blowing air.,"In foreground, a busy train, plastic being removed and clicking.","The wind is blowing against a car that is moving too fast, causing the car to slide off the road."
car_starting_and_shouts_far_away.wav,A dog barks once and then barks two more times.,A dog barks quietly in the background while a vehicle accelerates .,"A dog is barking, and a soft, whispering wind blowing.",Dogs bark while a vehicle passes by and the wind blows.,vehicle travelling sound and wind blowing sound and some dogs barking sound
drunks fighting.wav,Breaking glass echoes as people are yelling in the street.,Men are yelling and murmuring just before someone breaks glass.,Open chatter and yelling in an open area with glass breaking at the end.,"People are chatting with some speaking loudly in the open outdoors and, then, a glass is broken.",People on the street are yelling and then glass breaks.
entralanovia.wav,A bell rings while voices sing and music plays in the background.,A school bell rings while an organ plays a melody amid a crowd of adults and children quietly murmuring.,"Bells chiming, people conversing and other musical instruments playing in the background.",People are having a conversation with each other during the time a train is going by.,"People converse as bells chime and, in the background, other musical instruments play."
Waves Against Shore .wav,"A rocky shore on a beach stands up to large, crashing waves.",Large waves crashing against a rocky shore on a beach.,Ocean waves roll in and break on the shore.,The waves of the ocean are rolling in and breaking on the shore.,Water splashes hard as wind blows and a bird chirps.
BuisnessMen and SportsGuys_HartfordCT_March2012 .wav,A crowd of people are talking and shouting over each other.,A group of people talking and shouting among each other.,"A man is talking, while in the background, a loud television or movie is playing.",The crowd is very noisy during that time the announcer is trying to speak and they are getting louder.,a man talking with a loud television or movie playing in the background.
London_Underground_01.wav,A subway is passing through a tunnel as the announcer speaks on the intercom.,A subway riding through a tunnel while an announcer speaks on an intercom.,A train is rumbling as it drives and a voice announces something.,The inside of a train and people chatter inside.,The rumbling train run down the rail as a voice says something.
august_rain-007.wav,A campfire is crackling and a storm is roaring in the distance.,"A campfire crackling, and a storm roaring in the distance.",It is raining and the wind is blowing.,The weather is getting bad as it is raining heavily and the wind is blowing very hard.,Thunder is rolling as rain is pouring down.
rain_traffic_thunder.wav,A consistent rainfall is taking place in the foreground.,A heavy rain coming down outside with thunder in the background.,Rain falling at a constant rate in the foreground.,Thunder was in the background as heavy rain came down outside.,"Weather, thunder, rain droplets near and rain further."
Thunder &amp; Rain.wav,"In the weather, multiple thunder claps and rain drops as birds chirping.",Many birds are chirp softly while thunder begins to roar.,Many birds are chirping lightly while thunder begins to roar.,Thunder rolls through twice and birds are chirping softly.,"Weather, multiple thunder claps, rain drops, birds chirping."
RG Window.wav,A drawer is opened and closed a few times.,A drawer is slid open and closed a few times.,"A sliding door is opened, then closed and opened again.",A sliding door moving open and then closing and opening again.,Drawer or roll top desk opening and closing.
dishwashing_1.wav,"A faucet is operated, and water splashes and objects are placed down.","A faucet is turned on, and the water is splashed around and objects are set down.",A faucet runs while dishes and utensils are placed.,Someone is running water and washing or rinsing dishes.,Water is running while a person is washing or rinsing dishes.
Kyle of Lochalsh harbour.wav,Someone is washing and rinsing dishes in a sink.,Someone washing themselves in a tub filled with water,The buzz of an engine was followed by water sloshing in the background.,"The water is being splashed around, over an electric humming.",someone washing themselves in a bathtub filled with water
Skwer Starszych Panow Piatek Popoudniu.wav,A car engine that is on with a man talking at one point.,A dog barks while birds chirp and a car drives and people talk.,"A dog barks, birds chirp, a car drives and people talk in the background.",Adults and children talking while dogs bark in the distance,Constant background noise with a dog barking and people talking but barely audible.
crow.wav,A bird cackling in the foreground with other birds chirping in the background.,A crow cries loudly as other birds chirp during a stream of traffic in the background.,A large bird chirping outdoors with smaller birds chirping nearby.,One bird chirps loudly while other birds are chirping in the background.,Some little birds are singing at the same time that one bird is squawking.
"MEN RUNNING, FOREST, BREATHING (2).wav",A man runs by breathing heavily over the soft and brief speaking of a person in the background,A person is running and out of breath and then slows down.,A person speaks briefly and softly in the background as a man runs by them breathing heavily.,Someone is running through the grass and leaves and breathing hard,Someone running through grass and leaves while breathing heavily.
PassingDieselCar.wav,A car drives by as birds chip in the background.,As birds are chirping a car drives past.,Birds are chirping and a car drives past.,Birds chirp as the sound of a car engine gets louder and then softer.,birds chirping in the background while a car is driving by
Boston Street Morning.wav,A bus driving by and birds chirping in the distance,"Air brakes occur as the vehicles drive by, as birds chirp in the distance.",Air is rushing as a large vehicle passes by and then air is let out.,Birds chirping in the background as a vehicle drives by.,"vehicles driving by, birds chirping, and air brakes used"
Construction work in progress.wav,Loud roaring and thumping comes from the construction equipment.,People are working in the background and then a truck breaks and air is being let out,Someone pouring a object into another holding container.,The construction equipment was roaring and thumping loudly.,people working in the background and then a trucks air breaks being let out
wind-up.wav,A device with a spring being wound up repeatedly and released.,A toy is wound and let go on a table.,A wind up toy is being wound up and then let go on a table,A wind up engine is wound and released twice.,A wind up engine is wound up and released two times.
kitchen metal.wav,A person clangs metal objects together in a metal bin,A person is clanging metal objects in a metal bin together.,Metal pots are being shuffled around and tapped on.,"People banging on pots, pans and wind chimes","Pots, pans, and wind chimes being banged by people."
crow-chatter2.wav,A variety of birds singing and chirping and air moving in the background.,A variety of birds singing and chirping and are moving in the background.,Birds call out while another species of bird chirps.,Multiple seagulls are squawking angrily and other birds are chirping,Several seagulls squawking angrily and other birds chirping.
FootstepsUpstairs.wav,A person walks back and forth on a creaky wood floor,A person walks on a wood surface with shoes on.,A person wearing shoes walls on a wooden surface.,A wood floor creaks as a person walks back and forth upon it.,Several shoes are moving and shuffling across a creaking hard wood floor.
Walking on Wood Floor 2.wav,"A fire crackles nearby while, in the distance, the wind howls.",Almost completely silent apart from a steady shuffling percussive noise.,Almost completely silent apart from a human made percussive noise.,"Footsteps are lightly marching on pavement, going toward a location.",Someone is sitting in a chair while watching a movie on their computer.
hamlet Haanwijk autumn NL 03 151003_0804 ST.wav,"At first, several people are conversing, followed by birdsong, and finally the people shuffle around.","Birds chirp, air moves, and people talk in the distance while a hard object strikes another.","Birds chirping, air movement, people talking in the distance and one hard object striking another.","People talk and then birds sing, and at the end people are shuffling around.","Several birds are tweeting and chirping, followed by a shuffling noise."
Fog in the trees with wind.wav,A radio is not in a good frequency and is on a bad channel.,A waterfall flows into a small pond of water.,A waterfall that is falling into a small pond of water.,Rain falls at a constant rate while water drips and flows.,The rain continues steadily and water drips at the same time.
CarWash.wav,A group of people working in a place with machinery.,A group people in an work place with machinery,A truck was driving out of a garage,"It is raining, the wind is blowing and a car drives by.",The wind blew as a car drove by in the rain
"Night ambience in Japanese forest, strong wind, some rain drops on cement.wav","A very strong, noisy wind is accompanied by a few light raindrops.","A very strong, noisy wind with a few light raindrops.",Ambient noise is audible in the distance as tones of traffic are as well.,"As the storm passes over the cars on the highway, the wind blew harder.",Distant white noise with slightly audible tones of traffic toward the end.
snow on leaves.wav,A campfire is snapping as people talk faintly in the background.,A campfire snapping as people talk faintly in the background.,A small fire making cracking sounds and burning wood,A small wood fire is burning and making crackling sounds.,water is trickling down on to a container
Walking in Grass in Evening with Loud Bird.wav,A bird chirping in the background while a person is walking along a path with leaves on the ground.,A person is walking a path that has leaves on the ground and all the while a bird is chirping.,A person walks through leaves and sticks as insects chirp and a bird calls in the background.,Crickets chirping in the background as someone walks along crunching leaves and snapping twigs.,"Walking slowly , snapping twigs and crunching leaves crickets chirping happily."
1400 am static.wav,A train is passing by a noisy crowd.,A train passes through a passenger station at full speed,A train speeds through a passenger station quickly.,People are talking while a subway car drives by,The crowd of people were very noisy while the train passes by them.
05_Lanes_Island_Water_BoatPasses_48_24.wav,A boat is running up and down a river while it is raining.,"A car rides down the highway, wind blows through the open window and a motorbike passes.","A machine is running at constant speed, and then it fades away.","A machine is running at constant speed, and then it slowly fades away.",Rain is coming down while a boat in the river goes back and forth.
Thunder_01.wav,A thunderstorm booms and shakes far in the distance.,"A thunderstorm is crackling, booming and rolling in the distance.",Loud rain pours down as thunder crashes loudly.,Thunder crashes loudly as rain pours down loudly.,Thunder rolls while rain falls at a constant rate.
shopping_street_ambience.wav,"A loud area where men, women, and children are talking.","A man talks, a woman talks and a child whines.",As a man and woman talk a child whines in the background.,Some people and a kid talk in a noisy crowd.,Some people were talking in a noisy crowd and a little kid talked too.
0221 Bar_terrace.wav,A group of people is having a conversation.,A woman and a man speaking with noise of a crowd in the background.,Multiple people are talking in a crowd of people.,Some people have a discussion in a crowded place along with some children playing in the background.,Speaking people are at a food hall talking about something.
French men in the deep night.wav,A bunch of men are having a conversation.,A group of men are having a conversation.,People chat as the reverb of their voices echo in the hall.,Several men are speaking to each other and their volume increases at the end of the discussion.,Several men talking to each other and getting louder at the end.
school corridor.wav,A bus is moving and people inside it are talking,A bus moving and people inside it were talking,A group of people are conversing among themselves.,Muffled conversation in a distant area inside of a building.,Muted discussion in a far off area within a building.
cardinal.wav,A variety of birds are chirping and calling as heavy traffic rumbles in the background.,Birds are chirping in a wooded area next to a highway.,Heavy traffic rumbles in the background while a variety of birds are chirping and calling.,Several birds are singing outside with footsteps and traffic sounds in the background.,The rumble of vehicles on the road is the background to birdsong.
"04_Kirkenes_Round street crossing, quiet steps, car, birds, seagulls 1329.wav",A bird calls out with high pitch while a car drives by.,A truck is passing by while birds are singing in the background.,"Birds call out, some in high pitches, while a vehicle drives by.",Footsteps shuffle around outside in an area with birds and a car drives by.,"The footsteps of people shuffle around outside lawn, with birds and a car drives by."
Sink_Running_Water.wav,A pump is running continuously and water is dripping.,Air flowing through a pipe while a machine is running in the background.,Air flowing through a pipe while a machine runs in the background.,Someone is running a machine that is pretty loud.,Someone is running some type of a machine that is pretty loud.
birds &amp; cicadas oiseaux &amp; cigales Veroncle gorge.wav,Birds are chirping in the evening with cicadas during the summer.,Birds chirping in the evening with cicadas during the summer.,Birds sing in the trees while crickets chirp in the distance.,Bugs are in the trees and birds are singing.,Bugs are in the trees while the birds are singing.
the creak 02.wav,A bit of metal is being pulled over another bit of metal.,A large metal container is being dragged across a marble floor repeatedly.,A large object is moving on the ground and making a loud noise.,A piece of metal is being pulled across another piece of metal.,a large object is moving and making a loud noise on the ground
Walking down the hallway.wav,A person is walking down a hallway and dragging their feet.,A person is walking down a hallway dragging their feet,A person walking on a hard marble floor inside a building.,"Shoes are moving across a hard, uneven surface and a machine is running in the background.",Shoes moving across a hard uneven surface and a machine running in the background.
120120_walking_through_building.wav,"A lady wearing heels, walks across a wooden floor, opens a door, walks through and closes it.",A person is walking and then a door is opened and then the door swings shut.,"A person walks, opens the door, goes through the door and then swings the door shut.","IT IS QUITE BEFORE SOMEONE IS WALKING, THEN A DOOR IS OPENED AND CLOSED.",Taps of feet walking down a silent hallway.
120124_busy-street-corner.wav,A lady with high heels walked on a quiet street where some cars were passing by.,Traffic in the background while women walks in high heels shoes that click with each step.,Traffic is passing by on a nearby street with footsteps made by some people walking in the foreground.,"With traffic sounds in the background, the woman walks in high heels that click with each step.","on a quiet street a lady with high heels walked pass by, some cars passed too"
Modern Train.wav,A train approaches and with a squeal of the brakes it stops.,"A train approaches, then with a squeal of brakes, stops.","A train door slams , a train honks, train wheels rumble on the train tracks then they come to a halt.","A train door slams, someone honks, and train wheels rumble on the train tracks then they come to a halt.","Machinery running, a hard object striking another hard object and more traffic in the background."
ParkingGarage.wav,"A car door slams, a car is started and then car drives away.","A car door slams, a car is started by someone inside and then car drives away.",A machine is operating and a vehicle is started and begins to move.,A machine is operating while a vehicle starts and begins to move.,A vehicle motor is increasing in power as a fan is turned off.
Heavy rain - some people 1.wav,Heavy rain is coming down while people talk and take cover from the rain.,Heavy rains fall to the ground as people talk in the background,Rain falling while people are talking in the background.,"Water drops down the waterfall, while people laugh and converse in the background.",Water falling from a waterfall and people talking in the background and laughing.
outdoor power-tool (and occasional gull).wav,A drilling machine is being operated with short pauses between the drilling.,"A loud motor sounds in the foreground, while another sounds in the background.",A saw is being used to cut something.,It was so loud it sounded like someone was cutting through a board with metal cover.,Someone is cutting through a board with metal cover.
