file_name,caption_1,caption_2,caption_3,caption_4,caption_5
walking in snow in the woods_cap_4.wav,N/A,N/A,N/A,A small animal is walking in the forest and stepping on twigs while birds are chirping in the background.,N/A
walking in snow in the woods_cap_5.wav,N/A,N/A,N/A,N/A,A person walks on the leafy ground of a forest.
scribbling writing on paper.wav,Scratching made by someone writing for the entire length of time.,"A person uses a marker, dragging it across the surface of the paper.",A marker is dragged across a piece of paper.,Scratching made by someone writing with a pencil for the entire time.,writing or drawing with a magic marker on paper
scribbling writing on paper_cap_1.wav,Scratching made by someone writing for the entire length of time.,N/A,N/A,N/A,N/A
scribbling writing on paper_cap_2.wav,N/A,"A person uses a marker, dragging it across the surface of the paper.",N/A,N/A,N/A
scribbling writing on paper_cap_3.wav,N/A,N/A,A marker is dragged across a piece of paper.,N/A,N/A
scribbling writing on paper_cap_4.wav,N/A,N/A,N/A,Scratching made by someone writing with a pencil for the entire time.,N/A
scribbling writing on paper_cap_5.wav,N/A,N/A,N/A,N/A,writing or drawing with a magic marker on paper
Steps - walk.wav,"Footsteps of several people walking,  some are stomping and people speak quietly",While people are walking some of them are talking.,a horse walking on a cobblestone street during the day,People are tap dancing together on a wooden floor.,Some people walking and a few people talking.
Steps - walk_cap_1.wav,"Footsteps of several people walking,  some are stomping and people speak quietly",N/A,N/A,N/A,N/A
Steps - walk_cap_2.wav,N/A,While people are walking some of them are talking.,N/A,N/A,N/A
Steps - walk_cap_3.wav,N/A,N/A,a horse walking on a cobblestone street during the day,N/A,N/A
Steps - walk_cap_4.wav,N/A,N/A,N/A,People are tap dancing together on a wooden floor.,N/A
Steps - walk_cap_5.wav,N/A,N/A,N/A,N/A,Some people walking and a few people talking.
Uni_Folie_FountainWater2.wav,The burble of water rushes down rapidly in the shower and eventually goes down the drain.,Water is flowing down a stream and splashing.,The water steadily flows down the waterfall into the pond.,Water runs down the faucet until someone turns it off.,Water splashes as it flows down a stream.
Uni_Folie_FountainWater2_cap_1.wav,The burble of water rushes down rapidly in the shower and eventually goes down the drain.,N/A,N/A,N/A,N/A
Uni_Folie_FountainWater2_cap_2.wav,N/A,Water is flowing down a stream and splashing.,N/A,N/A,N/A
Uni_Folie_FountainWater2_cap_3.wav,N/A,N/A,The water steadily flows down the waterfall into the pond.,N/A,N/A
Uni_Folie_FountainWater2_cap_4.wav,N/A,N/A,N/A,Water runs down the faucet until someone turns it off.,N/A
Uni_Folie_FountainWater2_cap_5.wav,N/A,N/A,N/A,N/A,Water splashes as it flows down a stream.
Crowd Cheer.wav,A large audience applauds and shouts out vigorous cheers.,Many people clap their hands and shout cheerfully.,People are cheering out loud in a wild way in the crowd as someone runs by.,several different people yell and clap together continuously.,Several different individuals both yell and clap continuously and together.
Crowd Cheer_cap_1.wav,A large audience applauds and shouts out vigorous cheers.,N/A,N/A,N/A,N/A
Crowd Cheer_cap_2.wav,N/A,Many people clap their hands and shout cheerfully.,N/A,N/A,N/A
Crowd Cheer_cap_3.wav,N/A,N/A,People are cheering out loud in a wild way in the crowd as someone runs by.,N/A,N/A
Crowd Cheer_cap_4.wav,N/A,N/A,N/A,several different people yell and clap together continuously.,N/A
Crowd Cheer_cap_5.wav,N/A,N/A,N/A,N/A,Several different individuals both yell and clap continuously and together.
INT Factory nearby 3 water dripping.wav,The dripping of water echoes in a room.,Water drips loudly inside of an automatic car wash while the hum of its machinery becomes progressively louder.,Water drips loud inside an automatic car wash while the hum of its machinery becomes progressively louder.,Water is dripping on the ground and automobiles are driving.,While automobiles are driving water is falling slowly to the ground.
INT Factory nearby 3 water dripping_cap_1.wav,The dripping of water echoes in a room.,N/A,N/A,N/A,N/A
INT Factory nearby 3 water dripping_cap_2.wav,N/A,Water drips loudly inside of an automatic car wash while the hum of its machinery becomes progressively louder.,N/A,N/A,N/A
INT Factory nearby 3 water dripping_cap_3.wav,N/A,N/A,Water drips loud inside an automatic car wash while the hum of its machinery becomes progressively louder.,N/A,N/A
INT Factory nearby 3 water dripping_cap_4.wav,N/A,N/A,N/A,Water is dripping on the ground and automobiles are driving.,N/A
INT Factory nearby 3 water dripping_cap_5.wav,N/A,N/A,N/A,N/A,While automobiles are driving water is falling slowly to the ground.
20061105SumpPumpSiphon.wav,"As water boils, it pushes against the metal lid of the pan it is in.",Oil is boiling in a pot and something is being dropped in to the hot oil.,Water drips over a kitchen sink containing heavy metal objects.,Water steadily and slowly flows down a drain,Water boiling up against a metal pan lid.
20061105SumpPumpSiphon_cap_1.wav,"As water boils, it pushes against the metal lid of the pan it is in.",N/A,N/A,N/A,N/A
20061105SumpPumpSiphon_cap_2.wav,N/A,Oil is boiling in a pot and something is being dropped in to the hot oil.,N/A,N/A,N/A
20061105SumpPumpSiphon_cap_3.wav,N/A,N/A,Water drips over a kitchen sink containing heavy metal objects.,N/A,N/A
20061105SumpPumpSiphon_cap_4.wav,N/A,N/A,N/A,Water steadily and slowly flows down a drain,N/A
20061105SumpPumpSiphon_cap_5.wav,N/A,N/A,N/A,N/A,Water boiling up against a metal pan lid.
20070219.ultrasonic.cleaner.wav,something continuously hisses as something slowly bangs in the background,An object hisses without pause over a slow banging in the background,A buzzing insect flies around as someone taps on a table a couple of times.,The buzzing of fan blades and periodic clacking of items placed on a hard surface.,A light buzzing in the background with some motion in foreground.
20070219.ultrasonic.cleaner_cap_1.wav,something continuously hisses as something slowly bangs in the background,N/A,N/A,N/A,N/A
20070219.ultrasonic.cleaner_cap_2.wav,N/A,An object hisses without pause over a slow banging in the background,N/A,N/A,N/A
20070219.ultrasonic.cleaner_cap_3.wav,N/A,N/A,A buzzing insect flies around as someone taps on a table a couple of times.,N/A,N/A
20070219.ultrasonic.cleaner_cap_4.wav,N/A,N/A,N/A,The buzzing of fan blades and periodic clacking of items placed on a hard surface.,N/A
20070219.ultrasonic.cleaner_cap_5.wav,N/A,N/A,N/A,N/A,A light buzzing in the background with some motion in foreground.
Fridge Motor 2.wav,A machine motor runs for a moment and then shuts off.,A machine is operating and then shuts off.,a engine hums continuously then is turned off.,An engine hums continuously before it is turned off.,A machine buzzes loudly at a medium high pitch and then switches off.
Fridge Motor 2_cap_1.wav,A machine motor runs for a moment and then shuts off.,N/A,N/A,N/A,N/A
Fridge Motor 2_cap_2.wav,N/A,A machine is operating and then shuts off.,N/A,N/A,N/A
Fridge Motor 2_cap_3.wav,N/A,N/A,a engine hums continuously then is turned off.,N/A,N/A
Fridge Motor 2_cap_4.wav,N/A,N/A,N/A,An engine hums continuously before it is turned off.,N/A
Fridge Motor 2_cap_5.wav,N/A,N/A,N/A,N/A,A machine buzzes loudly at a medium high pitch and then switches off.
Boiling water in a kettle.wav,A motor runs loudly and then gradually decreases in volume.,The motor is running at a fairly even volume and pace.,A Machine is running with heavy noise and the noise is slowly decreasing.,A motor running at a fairly even volume and pace.,A motor running loudly at first and getting quieter as time goes on.
Boiling water in a kettle_cap_1.wav,A motor runs loudly and then gradually decreases in volume.,N/A,N/A,N/A,N/A
Boiling water in a kettle_cap_2.wav,N/A,The motor is running at a fairly even volume and pace.,N/A,N/A,N/A
Boiling water in a kettle_cap_3.wav,N/A,N/A,A Machine is running with heavy noise and the noise is slowly decreasing.,N/A,N/A
Boiling water in a kettle_cap_4.wav,N/A,N/A,N/A,A motor running at a fairly even volume and pace.,N/A
Boiling water in a kettle_cap_5.wav,N/A,N/A,N/A,N/A,A motor running loudly at first and getting quieter as time goes on.
Crowd Medium.wav,Multiple people are having multiple conversations loudly in the same area.,Multiple people are having multiple conversations in the same area.,People are in a restaurant talking and socializing with each other.,A party of friends gather at restaurant to eat and socialize together.,A lot of people are together in public talking.
Crowd Medium_cap_1.wav,Multiple people are having multiple conversations loudly in the same area.,N/A,N/A,N/A,N/A
Crowd Medium_cap_2.wav,N/A,Multiple people are having multiple conversations in the same area.,N/A,N/A,N/A
Crowd Medium_cap_3.wav,N/A,N/A,People are in a restaurant talking and socializing with each other.,N/A,N/A
Crowd Medium_cap_4.wav,N/A,N/A,N/A,A party of friends gather at restaurant to eat and socialize together.,N/A
Crowd Medium_cap_5.wav,N/A,N/A,N/A,N/A,A lot of people are together in public talking.
Harmonica_Key_Of_C_Chord_Whas 01.wav,A harmonica being played alternating between two notes.,A person plays different notes on a harmonica.,"A person plays two notes on a harmonica, alternating back and forth between them.",A person is playing different long notes with the harmonica.,Someone blows on a harmonica playing a variety of notes
Harmonica_Key_Of_C_Chord_Whas 01_cap_1.wav,A harmonica being played alternating between two notes.,N/A,N/A,N/A,N/A
Harmonica_Key_Of_C_Chord_Whas 01_cap_2.wav,N/A,A person plays different notes on a harmonica.,N/A,N/A,N/A
Harmonica_Key_Of_C_Chord_Whas 01_cap_3.wav,N/A,N/A,"A person plays two notes on a harmonica, alternating back and forth between them.",N/A,N/A
Harmonica_Key_Of_C_Chord_Whas 01_cap_4.wav,N/A,N/A,N/A,A person is playing different long notes with the harmonica.,N/A
Harmonica_Key_Of_C_Chord_Whas 01_cap_5.wav,N/A,N/A,N/A,N/A,Someone blows on a harmonica playing a variety of notes
City_Ambience_Cars_Night.wav,A car barrels down a road on a windy day.,All the cars and trucks take off and speed away around a turn,Somebody in a car changing gears and going faster.,The whirring of an engine as traffic goes past,The engine whirs as the traffic goes past.
City_Ambience_Cars_Night_cap_1.wav,A car barrels down a road on a windy day.,N/A,N/A,N/A,N/A
City_Ambience_Cars_Night_cap_2.wav,N/A,All the cars and trucks take off and speed away around a turn,N/A,N/A,N/A
City_Ambience_Cars_Night_cap_3.wav,N/A,N/A,Somebody in a car changing gears and going faster.,N/A,N/A
City_Ambience_Cars_Night_cap_4.wav,N/A,N/A,N/A,The whirring of an engine as traffic goes past,N/A
City_Ambience_Cars_Night_cap_5.wav,N/A,N/A,N/A,N/A,The engine whirs as the traffic goes past.
smeared bell.wav,A low hum becomes louder and louder as time passes.,A low monotone grind of metal is coming from a machine of an outdoor factory.,The engine of a plane is starting up as it gets ready to take off on the runway,a low hum becomes louder and louder as time goes on.,A plane is starting up and getting ready to take off the runway
smeared bell_cap_1.wav,A low hum becomes louder and louder as time passes.,N/A,N/A,N/A,N/A
smeared bell_cap_2.wav,N/A,A low monotone grind of metal is coming from a machine of an outdoor factory.,N/A,N/A,N/A
smeared bell_cap_3.wav,N/A,N/A,The engine of a plane is starting up as it gets ready to take off on the runway,N/A,N/A
smeared bell_cap_4.wav,N/A,N/A,N/A,a low hum becomes louder and louder as time goes on.,N/A
smeared bell_cap_5.wav,N/A,N/A,N/A,N/A,A plane is starting up and getting ready to take off the runway
Nene Valley Railway Santa Special at the River Nene Bridge.wav,A train is rumbling by loudly in the distance.,A train is rumbling by in the distance,Rapid banging as someone pounds against a hard surface.,A train passing on a train track with its carts knocking as they pass.,A train is passing on a train track with its carts knocking as they pass.
Nene Valley Railway Santa Special at the River Nene Bridge_cap_1.wav,A train is rumbling by loudly in the distance.,N/A,N/A,N/A,N/A
Nene Valley Railway Santa Special at the River Nene Bridge_cap_2.wav,N/A,A train is rumbling by in the distance,N/A,N/A,N/A
Nene Valley Railway Santa Special at the River Nene Bridge_cap_3.wav,N/A,N/A,Rapid banging as someone pounds against a hard surface.,N/A,N/A
Nene Valley Railway Santa Special at the River Nene Bridge_cap_4.wav,N/A,N/A,N/A,A train passing on a train track with its carts knocking as they pass.,N/A
Nene Valley Railway Santa Special at the River Nene Bridge_cap_5.wav,N/A,N/A,N/A,N/A,A train is passing on a train track with its carts knocking as they pass.
"Trucks, cars, bicycle are  passed.wav","Strong gusts of wind blow, fade and return.",Several cars drive by slowly one by one.,Birds are tweeting while cars drive by on the road.,Several cars pass by at high speed on a busy highway,Birds tweet at times in background as cars race by and go out into the distance.
"Trucks, cars, bicycle are  passed_cap_1.wav","Strong gusts of wind blow, fade and return.",N/A,N/A,N/A,N/A
"Trucks, cars, bicycle are  passed_cap_2.wav",N/A,Several cars drive by slowly one by one.,N/A,N/A,N/A
"Trucks, cars, bicycle are  passed_cap_3.wav",N/A,N/A,Birds are tweeting while cars drive by on the road.,N/A,N/A
"Trucks, cars, bicycle are  passed_cap_4.wav",N/A,N/A,N/A,Several cars pass by at high speed on a busy highway,N/A
"Trucks, cars, bicycle are  passed_cap_5.wav",N/A,N/A,N/A,N/A,Birds tweet at times in background as cars race by and go out into the distance.
Turkish market.wav,Several people are in a group talking loudly to one another.,People in a market place are announcing something to the passing crowd.,A group of people are talking in a crowd.,People who are in a crowd are conversing,Several people in a group talking very loudly to each other.
Turkish market_cap_1.wav,Several people are in a group talking loudly to one another.,N/A,N/A,N/A,N/A
Turkish market_cap_2.wav,N/A,People in a market place are announcing something to the passing crowd.,N/A,N/A,N/A
Turkish market_cap_3.wav,N/A,N/A,A group of people are talking in a crowd.,N/A,N/A
Turkish market_cap_4.wav,N/A,N/A,N/A,People who are in a crowd are conversing,N/A
Turkish market_cap_5.wav,N/A,N/A,N/A,N/A,Several people in a group talking very loudly to each other.
Jilkakilka_Garden rain.wav,Rain is pouring down as footsteps are splashing in the water.,Footsteps are splashing through the water while rain is pouring down.,Water rushing and flowing as rain splatters against it.,Rain falls steadily and splashes into puddles on the ground.,Water is flowing as rain splatters against it.
Jilkakilka_Garden rain_cap_1.wav,Rain is pouring down as footsteps are splashing in the water.,N/A,N/A,N/A,N/A
Jilkakilka_Garden rain_cap_2.wav,N/A,Footsteps are splashing through the water while rain is pouring down.,N/A,N/A,N/A
Jilkakilka_Garden rain_cap_3.wav,N/A,N/A,Water rushing and flowing as rain splatters against it.,N/A,N/A
Jilkakilka_Garden rain_cap_4.wav,N/A,N/A,N/A,Rain falls steadily and splashes into puddles on the ground.,N/A
Jilkakilka_Garden rain_cap_5.wav,N/A,N/A,N/A,N/A,Water is flowing as rain splatters against it.
2007-03-18_UnderOverpassRiverdaleRdRoyUT.wav,An engine is making noises at varying volumes.,The acceleration of a car engine as it drives by.,An engine is running and producing sound that rises and falls,A car engine accelerates as it drives by.,An engine is whirring as various automobiles rapidly pass in a high traffic area.
2007-03-18_UnderOverpassRiverdaleRdRoyUT_cap_1.wav,An engine is making noises at varying volumes.,N/A,N/A,N/A,N/A
2007-03-18_UnderOverpassRiverdaleRdRoyUT_cap_2.wav,N/A,The acceleration of a car engine as it drives by.,N/A,N/A,N/A
2007-03-18_UnderOverpassRiverdaleRdRoyUT_cap_3.wav,N/A,N/A,An engine is running and producing sound that rises and falls,N/A,N/A
2007-03-18_UnderOverpassRiverdaleRdRoyUT_cap_4.wav,N/A,N/A,N/A,A car engine accelerates as it drives by.,N/A
2007-03-18_UnderOverpassRiverdaleRdRoyUT_cap_5.wav,N/A,N/A,N/A,N/A,An engine is whirring as various automobiles rapidly pass in a high traffic area.
Golpe de puerta.wav,Something bangs five quick taps then pauses and repeats four times.,Loud tapping occurs and then stops several times,A loud tap begins and ends abruptly over time.,"A loud knock hits a hard surface four times, spaced out between short pauses.",A person uses a hammer and nails to join pieces of wood.
Golpe de puerta_cap_1.wav,Something bangs five quick taps then pauses and repeats four times.,N/A,N/A,N/A,N/A
Golpe de puerta_cap_2.wav,N/A,Loud tapping occurs and then stops several times,N/A,N/A,N/A
Golpe de puerta_cap_3.wav,N/A,N/A,A loud tap begins and ends abruptly over time.,N/A,N/A
Golpe de puerta_cap_4.wav,N/A,N/A,N/A,"A loud knock hits a hard surface four times, spaced out between short pauses.",N/A
Golpe de puerta_cap_5.wav,N/A,N/A,N/A,N/A,A person uses a hammer and nails to join pieces of wood.
ATMOS People Ice Skating Frozen Lake.wav,A rustling noise is loud while people are screaming and talking.,A child is hollering off in the distance as a skateboarder rolls close by and ends up in the bushes.,A rustling noise is very loud while people are screaming and talking.,Children talk and shout in the background as a skateboarder passes by.,A child is hollering off in the distance as a skateboard rolls close by and ends up in bushes.
ATMOS People Ice Skating Frozen Lake_cap_1.wav,A rustling noise is loud while people are screaming and talking.,N/A,N/A,N/A,N/A
ATMOS People Ice Skating Frozen Lake_cap_2.wav,N/A,A child is hollering off in the distance as a skateboarder rolls close by and ends up in the bushes.,N/A,N/A,N/A
ATMOS People Ice Skating Frozen Lake_cap_3.wav,N/A,N/A,A rustling noise is very loud while people are screaming and talking.,N/A,N/A
ATMOS People Ice Skating Frozen Lake_cap_4.wav,N/A,N/A,N/A,Children talk and shout in the background as a skateboarder passes by.,N/A
ATMOS People Ice Skating Frozen Lake_cap_5.wav,N/A,N/A,N/A,N/A,A child is hollering off in the distance as a skateboard rolls close by and ends up in bushes.
twangy-latch.wav,A person is using a staple gun to work.,something clicks and bangs together in a periodic motion,A person is working with a staple gun,Something wooden repeatedly being hit against something else,Something wooden is being hit repeatedly against something else
twangy-latch_cap_1.wav,A person is using a staple gun to work.,N/A,N/A,N/A,N/A
twangy-latch_cap_2.wav,N/A,something clicks and bangs together in a periodic motion,N/A,N/A,N/A
twangy-latch_cap_3.wav,N/A,N/A,A person is working with a staple gun,N/A,N/A
twangy-latch_cap_4.wav,N/A,N/A,N/A,Something wooden repeatedly being hit against something else,N/A
twangy-latch_cap_5.wav,N/A,N/A,N/A,N/A,Something wooden is being hit repeatedly against something else
general noise vehicle interior.wav,A motor running at a fairly even volume and pace.,"Ongoing, uninterrupted whooshing becomes increasingly louder and louder.",Waves crash on the rocks as they come in,A whooshing occurs and gets louder as time goes by,An airplane flying high and fast in the air.
general noise vehicle interior_cap_1.wav,A motor running at a fairly even volume and pace.,N/A,N/A,N/A,N/A
general noise vehicle interior_cap_2.wav,N/A,"Ongoing, uninterrupted whooshing becomes increasingly louder and louder.",N/A,N/A,N/A
general noise vehicle interior_cap_3.wav,N/A,N/A,Waves crash on the rocks as they come in,N/A,N/A
general noise vehicle interior_cap_4.wav,N/A,N/A,N/A,A whooshing occurs and gets louder as time goes by,N/A
general noise vehicle interior_cap_5.wav,N/A,N/A,N/A,N/A,An airplane flying high and fast in the air.
barabooRiver.wav,Rain is coming down on the ground with light Thunder in the background,"A loud whooshing and splashing occur, followed by a small gurgle.",Water roars continuously and occasionally bubbles and gurgles.,A downpour of rain outside is spilling into a gutter drain.,The roar of water with occasional burbling and gurgling.
barabooRiver_cap_1.wav,Rain is coming down on the ground with light Thunder in the background,N/A,N/A,N/A,N/A
barabooRiver_cap_2.wav,N/A,"A loud whooshing and splashing occur, followed by a small gurgle.",N/A,N/A,N/A
barabooRiver_cap_3.wav,N/A,N/A,Water roars continuously and occasionally bubbles and gurgles.,N/A,N/A
barabooRiver_cap_4.wav,N/A,N/A,N/A,A downpour of rain outside is spilling into a gutter drain.,N/A
barabooRiver_cap_5.wav,N/A,N/A,N/A,N/A,The roar of water with occasional burbling and gurgling.
windchim .wav,A wind chime blows in the wind to play different notes.,Machines are whirring quietly in addition to wind chimes.,Machines as well as wind chimes are whirring quietly.,A wind chime plays a variety of notes as it chimes in the wind,rain coming down with soft wind chimes in the background
windchim _cap_1.wav,A wind chime blows in the wind to play different notes.,N/A,N/A,N/A,N/A
windchim _cap_2.wav,N/A,Machines are whirring quietly in addition to wind chimes.,N/A,N/A,N/A
windchim _cap_3.wav,N/A,N/A,Machines as well as wind chimes are whirring quietly.,N/A,N/A
windchim _cap_4.wav,N/A,N/A,N/A,A wind chime plays a variety of notes as it chimes in the wind,N/A
windchim _cap_5.wav,N/A,N/A,N/A,N/A,rain coming down with soft wind chimes in the background
foley clothes friction different textures.wav,A surface is being scrubbed down with a brush.,Sizzling follows a loud rustling and is then followed by more rustling.,An object is sawed and then sprayed with air.,Scrubbing comes in synchrony with water spraying in the washing machine.,An object is being sawed and then it is sprayed with air.
foley clothes friction different textures_cap_1.wav,A surface is being scrubbed down with a brush.,N/A,N/A,N/A,N/A
foley clothes friction different textures_cap_2.wav,N/A,Sizzling follows a loud rustling and is then followed by more rustling.,N/A,N/A,N/A
foley clothes friction different textures_cap_3.wav,N/A,N/A,An object is sawed and then sprayed with air.,N/A,N/A
foley clothes friction different textures_cap_4.wav,N/A,N/A,N/A,Scrubbing comes in synchrony with water spraying in the washing machine.,N/A
foley clothes friction different textures_cap_5.wav,N/A,N/A,N/A,N/A,An object is being sawed and then it is sprayed with air.
obres_maremagnum3.wav,Faint talking mixing with the distant hum of machinery.,"Building materials are tossed around before drilling begins and in the background, two boards get tossed one at a time.",Someone is in a mechanical room and throws down a few pieces of aluminum.,"As several people talk, the whirring of a machine is accompanied by intermittent banging.","Building materials are tossed around before drilling begins in the background and two boards get tossed, one at a time."
obres_maremagnum3_cap_1.wav,Faint talking mixing with the distant hum of machinery.,N/A,N/A,N/A,N/A
obres_maremagnum3_cap_2.wav,N/A,"Building materials are tossed around before drilling begins and in the background, two boards get tossed one at a time.",N/A,N/A,N/A
obres_maremagnum3_cap_3.wav,N/A,N/A,Someone is in a mechanical room and throws down a few pieces of aluminum.,N/A,N/A
obres_maremagnum3_cap_4.wav,N/A,N/A,N/A,"As several people talk, the whirring of a machine is accompanied by intermittent banging.",N/A
obres_maremagnum3_cap_5.wav,N/A,N/A,N/A,N/A,"Building materials are tossed around before drilling begins in the background and two boards get tossed, one at a time."
tubfaucet.wav,Water is flowing down the tap with the wind in the background,"A loud drilling is followed by whooshing, tinkling and a loud screeching noise.",Water is running down the tap with wind in the background,The starting string of a grass mower is pulled and revved up.,A loud drilling occurs followed by a whooshing and tinkling and eventually a loud screeching
tubfaucet_cap_1.wav,Water is flowing down the tap with the wind in the background,N/A,N/A,N/A,N/A
tubfaucet_cap_2.wav,N/A,"A loud drilling is followed by whooshing, tinkling and a loud screeching noise.",N/A,N/A,N/A
tubfaucet_cap_3.wav,N/A,N/A,Water is running down the tap with wind in the background,N/A,N/A
tubfaucet_cap_4.wav,N/A,N/A,N/A,The starting string of a grass mower is pulled and revved up.,N/A
tubfaucet_cap_5.wav,N/A,N/A,N/A,N/A,A loud drilling occurs followed by a whooshing and tinkling and eventually a loud screeching
gardensoundscape.wav,Cars are racing down the track as birds are tweeting.,Birds are chirping as an airplane goes by overhead.,Cars are racing down the track and birds are tweeting.,A train approaches and passes by as distant birds sing and chirp.,A loud whooshing and chirping occurs followed by a low buzzing and rustling.
gardensoundscape_cap_1.wav,Cars are racing down the track as birds are tweeting.,N/A,N/A,N/A,N/A
gardensoundscape_cap_2.wav,N/A,Birds are chirping as an airplane goes by overhead.,N/A,N/A,N/A
gardensoundscape_cap_3.wav,N/A,N/A,Cars are racing down the track and birds are tweeting.,N/A,N/A
gardensoundscape_cap_4.wav,N/A,N/A,N/A,A train approaches and passes by as distant birds sing and chirp.,N/A
gardensoundscape_cap_5.wav,N/A,N/A,N/A,N/A,A loud whooshing and chirping occurs followed by a low buzzing and rustling.
Newspaper Reading.wav,"A person move paper across a surface, then crumples it.",A person opens a bag of snack chips and begins to eat them.,Multiple sheets of paper rustle as they are shuffled through.,Paper is moved across a surface and crumples.,Someone is opening and eating a bag of snack chips.
Newspaper Reading_cap_1.wav,"A person move paper across a surface, then crumples it.",N/A,N/A,N/A,N/A
Newspaper Reading_cap_2.wav,N/A,A person opens a bag of snack chips and begins to eat them.,N/A,N/A,N/A
Newspaper Reading_cap_3.wav,N/A,N/A,Multiple sheets of paper rustle as they are shuffled through.,N/A,N/A
Newspaper Reading_cap_4.wav,N/A,N/A,N/A,Paper is moved across a surface and crumples.,N/A
Newspaper Reading_cap_5.wav,N/A,N/A,N/A,N/A,Someone is opening and eating a bag of snack chips.
Quiet airport terminal.wav,Metal clangs together as the computer thumps in the background.,Work is going on in a factory during the day,"During the day, work is carried out inside a factory.",People are operating machines in a warehouse to make products,Workers in a warehouse are running machines used in the production of products.
Quiet airport terminal_cap_1.wav,Metal clangs together as the computer thumps in the background.,N/A,N/A,N/A,N/A
Quiet airport terminal_cap_2.wav,N/A,Work is going on in a factory during the day,N/A,N/A,N/A
Quiet airport terminal_cap_3.wav,N/A,N/A,"During the day, work is carried out inside a factory.",N/A,N/A
Quiet airport terminal_cap_4.wav,N/A,N/A,N/A,People are operating machines in a warehouse to make products,N/A
